,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price
18.0,Maruti Swift AMT ZXI,Kochi,2019.0,15409.0,Petrol,Automatic,First,22.0,1197.0,81.8,5.0,nan
19.0,Maruti Swift Dzire VXi,Jaipur,2015.0,36502.0,Petrol,Manual,First,17.5,1298.0,85.8,5.0,nan
20.0,Maruti Ritz LDi,Pune,2016.0,200000.0,Diesel,Manual,First,23.2,1248.0,73.94,5.0,nan
21.0,Nissan Micra XV,Delhi,2010.0,70000.0,Petrol,Manual,First,18.06,1198.0,75.0,5.0,nan
22.0,Maruti Alto 800 2016-2019 LXI,Kochi,2017.0,36701.0,Petrol,Manual,First,24.7,796.0,47.3,5.0,nan
23.0,Skoda Laura 1.8 TSI Ambition,Bangalore,2009.0,72000.0,Petrol,Manual,Second,17.5,nan,nan,nan,nan
24.0,Honda Civic 2010-2013 1.8 S MT Inspire,Bangalore,2011.0,40000.0,Petrol,Manual,Second,15.5,1799.0,132.0,5.0,nan
25.0,Ford Ikon 1.3 Flair,Pune,2005.0,47000.0,Petrol,Manual,Second,13.8,1299.0,70.0,5.0,nan
26.0,Maruti Alto LX,Pune,2006.0,93500.0,Petrol,Manual,Second,19.7,796.0,46.3,5.0,nan
27.0,Honda Jazz 1.5 V i DTEC,Pune,2015.0,52000.0,Diesel,Manual,First,27.3,1498.0,98.6,5.0,nan
28.0,Skoda Rapid 1.5 TDI AT Ambition,Delhi,2015.0,55429.0,Diesel,Automatic,Second,21.66,1498.0,103.52,5.0,nan
29.0,Hyundai i20 1.2 Sportz,Mumbai,2011.0,133000.0,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,nan
30.0,Toyota Etios Cross 1.4L VD,Chennai,2014.0,70000.0,Diesel,Manual,Second,23.59,1364.0,67.06,5.0,9.27
31.0,Volkswagen Polo GT TDI,Pune,2014.0,68000.0,Diesel,Manual,First,15.11,1598.0,103.6,5.0,nan
32.0,Hyundai i10 Era 1.1 iTech SE,Pune,2010.0,71000.0,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,nan
33.0,Mitsubishi Pajero 2.8 SFX,Chennai,2012.0,121000.0,Diesel,Manual,First,10.5,2835.0,107.2,6.0,nan
34.0,Maruti Swift Dzire Tour LDI,Kolkata,2015.0,107000.0,Diesel,Manual,First,23.4,1248.0,74.0,5.0,nan
35.0,Maruti Swift Dzire VXI,Chennai,2015.0,51000.0,Petrol,Manual,First,19.1,1197.0,85.8,5.0,nan
36.0,Skoda Rapid 1.6 MPI AT Style,Mumbai,2017.0,13500.0,Petrol,Automatic,First,14.84,1598.0,103.52,5.0,14.95
37.0,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Bangalore,2016.0,13000.0,Petrol,Manual,First,15.29,1591.0,121.3,5.0,nan
38.0,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Pune,2010.0,81000.0,Diesel,Manual,First,12.8,2494.0,102.0,8.0,nan
39.0,BMW 5 Series 520d Luxury Line,Mumbai,2012.0,66889.0,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,70.43
40.0,Maruti Baleno Alpha 1.3,Ahmedabad,2018.0,32000.0,Diesel,Manual,First,27.39,1248.0,74.0,5.0,nan
41.0,Audi A4 2.0 TDI 177 Bhp Technology Edition,Pune,2013.0,87001.0,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,nan
42.0,Audi A4 2.0 TDI Multitronic,Hyderabad,2013.0,55000.0,Diesel,Automatic,Second,16.55,1968.0,140.0,5.0,nan
43.0,Skoda Rapid 1.6 MPI Ambition,Jaipur,2018.0,4000.0,Petrol,Manual,First,15.41,1598.0,103.52,5.0,11.89
44.0,Maruti Ertiga SHVS VDI,Kochi,2017.0,27778.0,Diesel,Manual,First,24.52,1248.0,88.5,7.0,nan
45.0,Maruti Ciaz 1.4 Zeta,Mumbai,2017.0,5000.0,Petrol,Manual,First,20.73,1373.0,91.1,5.0,nan
46.0,Maruti Ciaz ZXi,Pune,2014.0,72000.0,Petrol,Manual,First,20.73,1373.0,91.1,5.0,nan
47.0,Mercedes-Benz A Class A200 CDI Sport,Chennai,2015.0,21000.0,Diesel,Automatic,First,20.0,2143.0,136.0,5.0,nan
48.0,Toyota Innova 2.5 ZX Diesel 7 Seater,Kochi,2015.0,59299.0,Diesel,Manual,First,12.99,2494.0,100.6,7.0,nan
49.0,BMW 3 Series 320d Prestige,Ahmedabad,2014.0,75000.0,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,nan
50.0,Maruti Alto 800 2016-2019 LXI,Kochi,2019.0,3413.0,Petrol,Manual,First,24.7,796.0,47.3,5.0,nan
51.0,Ford Ecosport 1.5 DV5 MT Titanium,Mumbai,2014.0,62000.0,Diesel,Manual,First,22.7,1498.0,89.84,5.0,nan
52.0,Ford Endeavour 3.0L 4X4 AT,Mumbai,2010.0,105001.0,Diesel,Automatic,First,11.4,2953.0,153.86,7.0,nan
53.0,Audi Q5 2.0 TDI,Mumbai,2013.0,89000.0,Diesel,Automatic,First,14.16,1968.0,174.3,5.0,nan
54.0,Hyundai Verna 1.6 SX VTVT,Mumbai,2014.0,21000.0,Petrol,Manual,First,17.01,1591.0,121.3,5.0,nan
55.0,Mahindra XUV500 W8 4WD,Kolkata,2014.0,50000.0,Diesel,Manual,First,15.1,2179.0,140.0,7.0,nan
56.0,Maruti Vitara Brezza ZDi,Hyderabad,2016.0,70687.0,Diesel,Manual,First,24.3,1248.0,88.5,5.0,11.02
57.0,Toyota Etios Liva 1.4 VXD,Pune,2016.0,104350.0,Diesel,Manual,First,23.59,1364.0,67.04,5.0,8.94
58.0,Tata Indigo CS LX (TDI) BS III,Chennai,2011.0,150000.0,Diesel,Manual,Second,19.09,1396.0,69.0,5.0,nan
59.0,Honda City ZX GXi,Delhi,2008.0,81000.0,Petrol,Manual,First,17.7,1497.0,78.0,5.0,nan
60.0,Toyota Corolla Altis G,Kolkata,2008.0,89000.0,Petrol,Manual,Second,14.53,1798.0,138.1,5.0,nan
61.0,Hyundai Grand i10 Asta,Kochi,2017.0,35223.0,Petrol,Manual,First,18.9,1197.0,82.0,5.0,nan
62.0,Hyundai i20 Sportz 1.2,Kolkata,2015.0,48000.0,Petrol,Manual,First,18.6,1197.0,81.83,5.0,nan
63.0,Volkswagen Polo 1.5 TDI Comfortline,Delhi,2015.0,60000.0,Diesel,Manual,First,20.14,1498.0,88.8,5.0,nan
64.0,Maruti Celerio X VXI Option,Mumbai,2018.0,7000.0,Petrol,Manual,First,23.0,998.0,67.0,5.0,5.78
65.0,Chevrolet Sail Hatchback 1.2,Kochi,2015.0,47572.0,Petrol,Manual,First,18.2,1199.0,82.5,5.0,nan
66.0,Mahindra Scorpio VLX Special Edition BS-IV,Delhi,2010.0,72727.0,Diesel,Manual,Second,15.4,2179.0,120.0,8.0,nan
67.0,Volkswagen Ameo 1.5 TDI Comfortline,Mumbai,2018.0,4708.0,Diesel,Manual,First,21.66,1498.0,108.62,5.0,9.4
68.0,Maruti Wagon R LXI,Delhi,2009.0,55000.0,Petrol,Manual,Second,18.9,998.0,67.1,5.0,nan
69.0,Honda Brio S Option MT,Coimbatore,2013.0,44198.0,Petrol,Manual,Second,18.4,1198.0,86.8,5.0,nan
70.0,Maruti Ertiga VXI,Ahmedabad,2015.0,35000.0,Petrol,Manual,First,16.02,1373.0,93.7,7.0,nan
71.0,Hyundai Santro Xing GL,Ahmedabad,2013.0,63831.0,Petrol,Manual,First,0.0,1086.0,62.0,5.0,nan
72.0,Ford Figo Aspire 1.2 Ti-VCT Titanium,Delhi,2017.0,17540.0,Petrol,Manual,First,18.16,1196.0,86.8,5.0,nan
73.0,Tata Tiago AMT 1.2 Revotron XTA,Mumbai,2017.0,14000.0,Petrol,Automatic,First,23.84,1199.0,84.0,5.0,6.3
74.0,Hyundai Santro Xing XL,Bangalore,2007.0,47000.0,Petrol,Manual,Second,0.0,1086.0,null bhp,5.0,nan
75.0,Chevrolet Beat LT,Chennai,2010.0,75422.0,Petrol,Manual,Second,18.6,1199.0,79.4,5.0,nan
76.0,Nissan Micra Diesel XV,Hyderabad,2011.0,67000.0,Diesel,Manual,Second,23.08,1461.0,63.1,5.0,nan
77.0,Toyota Innova 2.5 GX (Diesel) 8 Seater,Delhi,2013.0,79999.0,Diesel,Manual,First,12.99,2494.0,100.0,8.0,nan
78.0,Hyundai Xcent 1.2 VTVT E,Kolkata,2017.0,5044.0,Petrol,Manual,First,20.14,1197.0,81.86,5.0,6.41
79.0,Maruti Ciaz VXi,Kolkata,2016.0,31601.0,Petrol,Manual,First,20.73,1373.0,91.1,5.0,nan
80.0,BMW 5 Series 2013-2017 520d Luxury Line,Delhi,2014.0,70000.0,Diesel,Automatic,First,18.12,1995.0,190.0,5.0,nan
81.0,Toyota Camry Hybrid 2.5,Ahmedabad,2016.0,16000.0,Petrol,Automatic,First,19.16,2487.0,175.67,5.0,40.62
82.0,Toyota Corolla Altis D-4D G,Mumbai,2016.0,31700.0,Diesel,Manual,First,21.43,1364.0,87.2,5.0,nan
83.0,Hyundai Verna 1.6 SX CRDi (O),Kochi,2014.0,76969.0,Diesel,Manual,First,22.32,1582.0,126.32,5.0,nan
84.0,Volkswagen Vento 1.5 TDI Highline AT,Kolkata,2015.0,37000.0,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,nan
85.0,Nissan Teana XL,Mumbai,2014.0,23000.0,Petrol,Automatic,First,11.07,2496.0,179.5,5.0,nan
86.0,Hyundai i20 1.2 Sportz Option,Coimbatore,2014.0,59098.0,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,nan
87.0,Tata Manza Club Class Safire90 LX,Kochi,2010.0,142299.0,Petrol,Manual,First,13.07,1368.0,88.76,5.0,nan
88.0,Ford Figo Diesel ZXI,Jaipur,2011.0,75731.0,Diesel,Manual,First,20.0,1399.0,68.0,5.0,nan
89.0,Hyundai i20 Asta 1.2,Coimbatore,2017.0,69627.0,Petrol,Manual,First,18.6,1197.0,81.83,5.0,nan
90.0,Ford Fiesta Classic 1.6 SXI Duratec,Mumbai,2011.0,49000.0,Petrol,Manual,First,15.3,1596.0,99.6,5.0,nan
91.0,Mercedes-Benz B Class B180 Sports,Mumbai,2015.0,25700.0,Petrol,Automatic,First,11.9,1595.0,120.7,5.0,nan
92.0,Hyundai i20 Magna,Delhi,2012.0,80800.0,Petrol,Manual,First,18.5,1197.0,82.85,5.0,nan
93.0,Maruti Swift Dzire VDI,Hyderabad,2013.0,110896.0,Diesel,Manual,First,23.4,1248.0,74.0,5.0,nan
94.0,Hyundai Santro Xing GLS,Kolkata,2009.0,62261.0,Petrol,Manual,First,17.92,1086.0,62.1,5.0,nan
95.0,Maruti Baleno Alpha,Kochi,2017.0,27610.0,Petrol,Manual,First,21.4,1197.0,83.1,5.0,8.8
96.0,Honda Accord 2.4 Elegance M/T,Kochi,2011.0,89219.0,Petrol,Manual,First,10.2,2354.0,180.0,5.0,nan
97.0,Nissan Micra XL CVT,Hyderabad,2018.0,6700.0,Petrol,Automatic,First,19.34,1198.0,75.94,5.0,nan
98.0,Maruti Zen Estilo LXI BS IV,Pune,2011.0,51599.0,Petrol,Manual,First,19.0,998.0,67.1,5.0,nan
99.0,Hyundai Elantra CRDi SX,Kolkata,2013.0,37489.0,Diesel,Manual,First,22.7,1582.0,126.24,5.0,nan
100.0,Tata Indica V2 DiCOR DLG BS-III,Mumbai,2016.0,98000.0,Diesel,Manual,First,17.5,1396.0,70.0,5.0,nan
101.0,Tata Nano Lx,Hyderabad,2012.0,25183.0,Petrol,Manual,First,26.0,624.0,35.0,4.0,nan
102.0,BMW 5 Series 2013-2017 520d Luxury Line,Bangalore,2015.0,52100.0,Diesel,Automatic,Second,18.12,1995.0,190.0,5.0,nan
103.0,Honda Amaze S i-Dtech,Pune,2014.0,60000.0,Diesel,Manual,First,25.8,1498.0,98.6,5.0,nan
104.0,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013.0,51000.0,Diesel,Manual,First,22.07,1199.0,73.9,5.0,nan
105.0,Tata Indica Vista Quadrajet LX,Mumbai,2012.0,70000.0,Diesel,Manual,First,22.3,1248.0,74.0,5.0,nan
106.0,Audi Q3 30 TDI S Edition,Jaipur,2015.0,95000.0,Diesel,Manual,First,17.32,1968.0,138.13,5.0,nan
107.0,Honda City i DTEC SV,Jaipur,2014.0,66346.0,Diesel,Manual,First,26.0,1498.0,98.6,5.0,nan
108.0,Honda Amaze SX i-DTEC,Hyderabad,2015.0,69150.0,Diesel,Manual,First,25.8,1498.0,98.6,5.0,nan
109.0,Hyundai i20 Asta Option 1.2,Bangalore,2016.0,31000.0,Petrol,Manual,First,18.6,1197.0,81.83,5.0,nan
110.0,BMW 5 Series 2013-2017 520d Luxury Line,Bangalore,2013.0,49000.0,Diesel,Automatic,Second,18.12,1995.0,190.0,5.0,nan
111.0,Honda Brio S MT,Kochi,2014.0,63058.0,Petrol,Manual,First,19.4,1198.0,86.8,5.0,nan
112.0,Mercedes-Benz New C-Class C 250 CDI Avantgarde,Delhi,2016.0,22000.0,Diesel,Automatic,First,19.71,2143.0,201.15,5.0,nan
113.0,Volkswagen Polo 1.2 MPI Highline,Coimbatore,2015.0,73026.0,Petrol,Manual,First,16.47,1198.0,74.0,5.0,nan
114.0,Hyundai i10 Magna AT,Coimbatore,2011.0,21762.0,Petrol,Automatic,Second,19.2,1197.0,80.0,5.0,nan
115.0,Hyundai Verna 1.6 SX VTVT,Coimbatore,2018.0,29738.0,Petrol,Manual,First,17.01,1591.0,121.3,5.0,nan
116.0,Hyundai i20 1.2 Magna Executive,Mumbai,2018.0,16053.0,Petrol,Manual,First,18.6,1197.0,81.83,5.0,nan
117.0,BMW 5 Series 525d Sedan,Kochi,2012.0,61665.0,Diesel,Automatic,First,16.73,2993.0,218.0,5.0,nan
118.0,Maruti Swift Dzire Vdi BSIV,Delhi,2015.0,51000.0,Diesel,Manual,First,19.3,1248.0,73.9,5.0,nan
119.0,Honda BRV i-DTEC V MT,Bangalore,2016.0,34820.0,Diesel,Manual,First,21.9,1498.0,98.6,7.0,15.59
120.0,Maruti Ertiga VXI,Mumbai,2018.0,12000.0,Petrol,Manual,First,17.5,1373.0,91.1,7.0,nan
121.0,Maruti Swift Dzire VDI Optional,Hyderabad,2017.0,32287.0,Diesel,Manual,First,26.59,1248.0,74.0,5.0,nan
122.0,Toyota Etios Liva GD,Jaipur,2012.0,121134.0,Diesel,Manual,First,23.59,1364.0,null bhp,5.0,nan
123.0,BMW X3 xDrive20d,Coimbatore,2015.0,74485.0,Diesel,Automatic,First,16.09,1995.0,184.0,5.0,nan
124.0,Chevrolet Beat Diesel LS,Chennai,2011.0,63000.0,Diesel,Manual,First,25.44,936.0,57.6,5.0,nan
125.0,Audi Q3 30 TDI Premium FWD,Coimbatore,2018.0,53190.0,Diesel,Automatic,First,18.51,1968.0,147.51,5.0,44.8
126.0,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,Bangalore,2016.0,26900.0,Diesel,Automatic,First,12.0,2987.0,224.0,7.0,nan
127.0,BMW 3 Series GT 320d Sport Line,Hyderabad,2015.0,40000.0,Diesel,Automatic,First,19.59,1995.0,184.0,5.0,nan
128.0,Hyundai Grand i10 Asta Option,Coimbatore,2016.0,40587.0,Petrol,Manual,First,18.9,1197.0,82.0,5.0,nan
129.0,Hyundai Grand i10 Asta,Hyderabad,2015.0,27000.0,Petrol,Manual,First,18.9,1197.0,82.0,5.0,nan
130.0,Toyota Etios Liva VD,Coimbatore,2016.0,29108.0,Diesel,Manual,First,23.59,1364.0,67.04,5.0,nan
131.0,Datsun GO T Petrol,Mumbai,2015.0,18000.0,Petrol,Manual,First,19.83,1198.0,67.0,5.0,5.74
132.0,Maruti Ignis 1.2 Alpha,Kolkata,2017.0,10500.0,Petrol,Manual,First,20.89,1197.0,81.8,5.0,7.43
133.0,Maruti A-Star Zxi,Chennai,2009.0,60000.0,Petrol,Manual,Third,19.0,998.0,66.1,5.0,nan
134.0,Honda Civic 2010-2013 1.8 V AT Sunroof,Pune,2011.0,61000.0,Petrol,Automatic,Third,13.9,1799.0,130.3,5.0,nan
135.0,Maruti Alto 800 LXI,Kolkata,2017.0,5000.0,Petrol,Manual,First,22.74,796.0,47.3,5.0,nan
136.0,Jaguar XE 2.0L Diesel Prestige,Pune,2018.0,24001.0,Diesel,Automatic,First,13.6,1999.0,177.0,5.0,52.96
137.0,Hyundai i20 1.4 CRDi Sportz,Hyderabad,2011.0,76000.0,Diesel,Manual,First,23.0,1396.0,90.0,5.0,nan
138.0,Ford EcoSport 1.0 Ecoboost Titanium Plus,Hyderabad,2014.0,56000.0,Petrol,Manual,First,18.88,999.0,123.24,5.0,nan
139.0,Mahindra KUV 100 mFALCON G80 K4 5str,Mumbai,2016.0,30000.0,Petrol,Manual,First,18.15,1198.0,82.0,5.0,nan
140.0,Maruti Vitara Brezza VDi Option,Hyderabad,2017.0,44263.0,Diesel,Manual,First,24.3,1248.0,88.5,5.0,nan
141.0,Ford Figo Diesel ZXI,Hyderabad,2011.0,97899.0,Diesel,Manual,First,20.0,1399.0,68.0,5.0,nan
142.0,Volkswagen Vento Diesel Highline,Jaipur,2011.0,157301.0,Diesel,Manual,Second,20.54,1598.0,103.6,5.0,nan
143.0,Ford Fiesta 1.4 SXI Duratorq,Jaipur,2008.0,135000.0,Diesel,Manual,First,17.8,1399.0,null bhp,5.0,nan
144.0,Fiat Avventura FIRE Dynamic,Pune,2016.0,35000.0,Petrol,Manual,Second,14.4,1368.0,88.8,5.0,nan
145.0,Honda Civic 2006-2010 1.8 V MT,Pune,2009.0,106000.0,Petrol,Manual,First,13.5,1799.0,130.0,5.0,nan
146.0,Honda CR-V Diesel,Kolkata,2016.0,121590.0,Diesel,Manual,First,18.0,2000.0,148.0,5.0,nan
147.0,Maruti Wagon R LXI,Delhi,2012.0,64692.0,Petrol,Manual,First,22.5,998.0,67.04,5.0,4.59
148.0,Hyundai i10 Magna,Mumbai,2010.0,41000.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,nan
149.0,Volkswagen Ameo 1.5 TDI Highline AT,Coimbatore,2018.0,25143.0,Diesel,Automatic,First,22.0,1498.0,108.495,5.0,nan
150.0,Volkswagen Vento Diesel Highline,Ahmedabad,2011.0,51000.0,Diesel,Manual,First,20.54,1598.0,103.6,5.0,nan
151.0,Hyundai Accent CRDi,Pune,2005.0,109000.0,Diesel,Manual,Second,13.1,1493.0,82.0,5.0,nan
152.0,Ford Ecosport 1.5 DV5 MT Titanium Optional,Kochi,2015.0,69062.0,Diesel,Manual,First,22.7,1498.0,89.84,5.0,nan
153.0,Jaguar XF 2.2 Litre Luxury,Kochi,2015.0,34386.0,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,nan
154.0,Maruti Baleno Alpha 1.2,Delhi,2016.0,20185.0,Petrol,Manual,First,21.4,1197.0,83.1,5.0,nan
155.0,Hyundai Grand i10 CRDi Magna,Hyderabad,2013.0,41585.0,Diesel,Manual,First,24.0,1120.0,70.0,5.0,nan
156.0,Hyundai EON Era,Kolkata,2011.0,24000.0,Petrol,Manual,First,21.1,814.0,55.2,5.0,nan
157.0,Mercedes-Benz E-Class 2015-2017 E250 Edition E,Bangalore,2016.0,40000.0,Diesel,Automatic,First,15.0,2143.0,204.0,5.0,nan
158.0,Mercedes-Benz M-Class ML 350 4Matic,Bangalore,2012.0,37000.0,Diesel,Automatic,First,0.0,2987.0,165.0,5.0,nan
159.0,Ford EcoSport 1.5 Diesel Titanium,Chennai,2015.0,67630.0,Diesel,Manual,First,23.0,1498.0,98.96,5.0,11.48
160.0,Maruti Celerio VXI AT,Coimbatore,2016.0,24192.0,Petrol,Automatic,First,23.1,998.0,67.04,5.0,nan
161.0,Maruti Vitara Brezza VDi Option,Hyderabad,2017.0,32248.0,Diesel,Manual,First,24.3,1248.0,88.5,5.0,nan
162.0,Mahindra Xylo E9,Mumbai,2013.0,28000.0,Diesel,Manual,First,13.0,2179.0,120.0,8.0,nan
163.0,Hyundai Creta 1.6 SX Automatic,Kochi,2018.0,36471.0,Petrol,Automatic,First,14.8,1591.0,121.3,5.0,15.93
164.0,Honda Mobilio V i VTEC,Kochi,2015.0,69689.0,Petrol,Manual,First,17.3,1497.0,117.3,7.0,nan
165.0,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Kochi,2015.0,69095.0,Diesel,Automatic,First,11.3,2987.0,254.8,7.0,nan
166.0,Hyundai i20 Magna,Kolkata,2010.0,46000.0,Petrol,Manual,First,18.5,1197.0,80.0,5.0,nan
167.0,Mercedes-Benz S Class 2005 2013 S 350 L,Mumbai,2008.0,65000.0,Petrol,Automatic,Third,10.13,3498.0,364.9,5.0,nan
168.0,Volkswagen Vento 1.5 TDI Highline,Chennai,2015.0,119258.0,Diesel,Manual,First,20.64,1498.0,108.5,5.0,14.32
169.0,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,2015.0,38339.0,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,nan
170.0,Toyota Etios V,Mumbai,2012.0,59503.0,Petrol,Manual,First,16.78,1496.0,88.73,5.0,nan
171.0,Tata Indica Vista Aqua TDI BSIII,Chennai,2010.0,93600.0,Diesel,Manual,Third,17.0,1405.0,71.0,5.0,nan
172.0,Volkswagen Passat 1.8 TSI MT,Coimbatore,2011.0,58865.0,Petrol,Manual,First,14.3,1798.0,160.0,5.0,nan
173.0,Maruti Alto LXi,Coimbatore,2012.0,64631.0,Petrol,Manual,First,19.7,796.0,46.3,5.0,nan
174.0,Skoda Laura 1.9 TDI MT Elegance,Pune,2007.0,124298.0,Diesel,Manual,Second,17.0,1896.0,105.0,5.0,nan
175.0,Maruti Wagon R LX,Jaipur,2003.0,50000.0,Petrol,Manual,Second,18.9,998.0,67.1,5.0,nan
176.0,Nissan Sunny 2011-2014 Diesel XV,Kolkata,2013.0,40001.0,Diesel,Manual,First,21.64,1461.0,84.8,5.0,nan
177.0,Honda Brio VX,Bangalore,2015.0,62659.0,Petrol,Manual,First,19.4,1198.0,86.8,5.0,nan
178.0,Hyundai i10 Sportz,Kochi,2014.0,68138.0,Petrol,Manual,First,20.36,1197.0,78.9,5.0,nan
179.0,Mercedes-Benz M-Class ML 250 CDI,Mumbai,2014.0,34000.0,Diesel,Automatic,First,15.26,2143.0,203.2,5.0,nan
180.0,Volkswagen Vento Petrol Comfortline,Mumbai,2013.0,67000.0,Petrol,Manual,First,15.04,1598.0,103.6,5.0,nan
181.0,Honda Mobilio S i DTEC,Delhi,2015.0,64141.0,Diesel,Manual,First,24.2,1498.0,98.6,7.0,nan
182.0,Maruti Alto LXI,Kolkata,2019.0,1000.0,Petrol,Manual,First,24.7,796.0,47.3,5.0,3.99
183.0,Mercedes-Benz E-Class E250 CDI Avantgrade,Mumbai,2013.0,42000.0,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,nan
184.0,Honda City ZX VTEC Plus,Coimbatore,2009.0,76677.0,Petrol,Manual,Third,16.9,1497.0,100.0,5.0,nan
185.0,Audi A8 L 3.0 TDI quattro,Kochi,2013.0,66848.0,Diesel,Automatic,First,11.8,2967.0,246.7,5.0,nan
186.0,Hyundai Santro Xing GL,Ahmedabad,2007.0,78000.0,Petrol,Manual,First,0.0,1086.0,62.0,5.0,nan
187.0,Maruti Swift Dzire VDi,Delhi,2010.0,111166.0,Diesel,Manual,First,19.3,1248.0,73.9,5.0,nan
188.0,Hyundai Verna CRDi ABS,Chennai,2007.0,76000.0,Diesel,Manual,First,18.1,1493.0,110.0,5.0,nan
189.0,Audi Q5 2008-2012 2.0 TDI,Coimbatore,2012.0,94049.0,Diesel,Automatic,First,12.8,1968.0,167.6,5.0,nan
190.0,BMW X1 sDrive20d,Ahmedabad,2014.0,47000.0,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,nan
191.0,Tata Indica DLS,Chennai,2006.0,140000.0,Diesel,Manual,Second,13.5,1405.0,null bhp,5.0,nan
192.0,Tata Nano XT,Delhi,2015.0,20047.0,Petrol,Manual,First,23.9,624.0,37.48,4.0,nan
193.0,BMW 7 Series 730Ld DPE Signature,Chennai,2017.0,16000.0,Diesel,Automatic,First,16.77,2993.0,261.49,5.0,1.58 Cr
194.0,Honda Brio 1.2 S MT,Chennai,2012.0,27000.0,Petrol,Manual,First,18.5,1198.0,86.8,5.0,6.15
195.0,Maruti Alto 800 2016-2019 LXI,Mumbai,2018.0,1001.0,Petrol,Manual,First,24.7,796.0,47.3,5.0,nan
196.0,Hyundai i20 1.2 Sportz,Kolkata,2010.0,89312.0,Petrol,Manual,First,17.0,1197.0,80.0,5.0,nan
197.0,Hindustan Motors Contessa 2.0 DSL,Pune,1996.0,65000.0,Diesel,Manual,Second,14.1,1995.0,null bhp,5.0,nan
198.0,Renault Duster 110PS Diesel RxZ,Pune,2012.0,93000.0,Diesel,Manual,Second,19.01,1461.0,108.45,5.0,nan
199.0,Maruti Swift Dzire VDI,Kolkata,2013.0,48000.0,Diesel,Manual,First,23.4,1248.0,74.0,5.0,nan
